alts,rh,t,p,r28um,r50um,r74um,r98um,r122um,r156um,bd_fallv_28um,bd_fallv_50um,bd_fallv_74um,bd_fallv_98um,bd_fallv_122um,bd_fallv_156um
47,64.5835496152628,27.255176514867124,1014.079129210702,4.769520581568979,8.517001038516057,12.605161537003776,16.69332203549149,20.781482533979208,24.869643032466925,0.0033786498343408,0.0106901920780212,0.0231614125016226,0.0402523662967373,0.0616539925605321,0.0905235220213906
48,64.61783022716867,27.24551826421159,1013.9667937606406,4.770628819001107,8.518980033930571,12.608090450217256,16.69720086650394,20.786311282790624,24.875421699077307,0.0033798344675181,0.0106939537075139,0.0231694883483203,0.0402663072932669,0.0616750265552493,0.0905516857329093
49,64.65211083907454,27.235860013556053,1013.8544583105792,4.771738689829499,8.52096194612413,12.611023680263722,16.701085414403316,20.791147148542905,24.881208882682497,0.0033810211385039,0.0106977218147861,0.023177578056722,0.0402802720902172,0.0616960961539858,0.0905798970661412
50,64.68639145098041,27.22620176290052,1013.7421228605176,4.7728501979086975,8.52294678197984,12.613961237330177,16.70497569268051,20.79599014803084,24.887004603381172,0.0033822098528171,0.0107014964173842,0.0231856816642581,0.040294260751487,0.0617172014516084,0.0906081561478795
51,64.72067206288628,27.216543512244986,1013.6297874104564,4.773963347105932,8.524934548403472,12.61690313163715,16.708871714870828,20.800840298104504,24.89280888133818,0.0033834006159967,0.0107052775329181,0.0231937992084946,0.0403082733412057,0.0617383425433239,0.0906364631053696
52,64.75495267479215,27.206885261589445,1013.5174519603949,4.775078141301177,8.526925252323553,12.61984937343887,16.712773494554188,20.8056976156695,24.89862173678481,0.0033845934336019,0.0107090651790624,0.0232019307271347,0.0403223099237351,0.0617595195246812,0.090664818066313
53,64.789233286698,27.197227010933908,1013.4051165103334,4.776194584387204,8.528918900691458,12.622799973023367,16.71668104535528,20.810562117687187,24.904443190019094,0.0033857883112122,0.0107128593735558,0.0232100762580183,0.0403363705636694,0.0617807324915721,0.0906932211588679
54,64.82351389860388,27.18756876027837,1013.292781060272,4.777312680269639,8.530915500481521,12.625754940712662,16.7205943809438,20.815433821174945,24.910273261406083,0.0033869852544276,0.0107166601342024,0.0232182358391236,0.0403504553258374,0.0618019815402337,0.0907216725116524
55,64.85779451050975,27.17791050962284,1013.1804456102104,4.778432432867012,8.532915058691115,12.628714286862865,16.72451351503461,20.820312743206355,24.9161119713781,0.0033881842688683,0.010720467478871,0.0232264095085672,0.0403645642753024,0.0618232667672494,0.0907501722537458
56,64.89207512241562,27.1682522589673,1013.0681101601492,4.779553846110817,8.534917582340768,12.63167802186435,16.728438461387928,20.82519890091151,24.921959340435087,0.0033893853601755,0.0107242814254961,0.023234597304605,0.0403786974773642,0.0618445882695507,0.0907787205146908
